,,,,,,,,,,,
,1,106,112,100,78,111,108,86,106,98,95
,2,100,118,92,86,109,110,83,109,97,96
,3,107,99,111,73,122,98,95,103,103,89
,4,97,109,103,81,119,101,89,109,101,91
,5,108,107,105,75,125,86,104,95,115,80
,6,107,108,98,82,118,93,103,96,105,90
,7,114,95,111,75,125,90,106,88,113,83
,8,103,106,102,84,109,106,97,97,109,87
,9,104,103,105,84,109,92,111,88,118,86
,10,97,110,99,90,98,103,99,100,111,93
,11,108,105,104,85,103,94,108,93,118,82
,12,104,109,91,98,88,109,101,100,112,88
,13,108,88,112,93,93,95,115,92,120,84
,14,94,102,108,97,87,101,109,98,101,103
,15,107,94,116,96,88,96,114,94,105,90
,16,100,101,112,100,80,104,110,98,96,99
,17,100,93,120,97,83,92,122,84,110,99
,18,95,98,114,103,63,112,107,99,94,115
,19,111,88,124,103,63,103,116,89,104,99
,20,98,101,121,106,58,108,109,96,95,108
,21,107,94,128,96,68,98,119,84,107,99
,22,99,102,111,113,66,100,117,86,103,103
,23,111,99,114,93,86,96,121,79,110,91
,24,100,110,108,99,76,106,115,85,108,93
,25,104,97,121,91,84,105,116,78,115,89
,26,95,106,112,100,78,111,108,86,106,98
,27,96,100,118,92,86,109,110,83,109,97
,28,89,107,99,111,73,122,98,95,103,103
,29,91,97,109,103,81,119,101,89,109,101
,30,80,108,107,105,75,125,86,104,95,115
,31,90,107,108,98,82,118,93,103,96,105
,32,83,114,95,111,75,125,90,106,88,113
,33,87,103,106,102,84,109,106,97,97,109
,34,86,104,103,105,84,109,92,111,88,118
,35,93,97,110,99,90,98,103,99,100,111
,36,82,108,105,104,85,103,94,108,93,118
,37,88,104,109,91,98,88,109,101,100,112
,38,84,108,88,112,93,93,95,115,92,120
,39,103,94,102,108,97,87,101,109,98,101
,40,90,107,94,116,96,88,96,114,94,105
,41,99,100,101,112,100,80,104,110,98,96
,42,99,100,93,120,97,83,92,122,84,110
,43,115,95,98,114,103,63,112,107,99,94
,44,99,111,88,124,103,63,103,116,89,104
,45,108,98,101,121,106,58,108,109,96,95
,46,99,107,94,128,96,68,98,119,84,107
,47,103,99,102,111,113,66,100,117,86,103
,48,91,111,99,114,93,86,96,121,79,110
,49,93,100,110,108,99,76,106,115,85,108
,50,89,104,97,121,91,84,105,116,78,115
,51,98,95,106,112,100,78,111,108,86,106
,52,97,96,100,118,92,86,109,110,83,109
,53,103,89,107,99,111,73,122,98,95,103
,54,101,91,97,109,103,81,119,101,89,109
,55,115,80,108,107,105,75,125,86,104,95
,56,105,90,107,108,98,82,118,93,103,96
,57,113,83,114,95,111,75,125,90,106,88
,58,109,87,103,106,102,84,109,106,97,97
,59,118,86,104,103,105,84,109,92,111,88
,60,111,93,97,110,99,90,98,103,99,100
,61,118,82,108,105,104,85,103,94,108,93
,62,112,88,104,109,91,98,88,109,101,100
,63,120,84,108,88,112,93,93,95,115,92
,64,101,103,94,102,108,97,87,101,109,98
,65,105,90,107,94,116,96,88,96,114,94
,66,96,99,100,101,112,100,80,104,110,98
,67,110,99,100,93,120,97,83,92,122,84
,68,94,115,95,98,114,103,63,112,107,99
,69,104,99,111,88,124,103,63,103,116,89
,70,95,108,98,101,121,106,58,108,109,96
,71,107,99,107,94,128,96,68,98,119,84
,72,103,103,99,102,111,113,66,100,117,86
,73,110,91,111,99,114,93,86,96,121,79
,74,108,93,100,110,108,99,76,106,115,85
,75,115,89,104,97,121,91,84,105,116,78
,76,106,98,95,106,112,100,78,111,108,86
,77,109,97,96,100,118,92,86,109,110,83
,78,103,103,89,107,99,111,73,122,98,95
,79,109,101,91,97,109,103,81,119,101,89
,80,95,115,80,108,107,105,75,125,86,104
,81,96,105,90,107,108,98,82,118,93,103
,82,88,113,83,114,95,111,75,125,90,106
,83,97,109,87,103,106,102,84,109,106,97
,84,88,118,86,104,103,105,84,109,92,111
,85,100,111,93,97,110,99,90,98,103,99
,86,93,118,82,108,105,104,85,103,94,108
,87,100,112,88,104,109,91,98,88,109,101
,88,92,120,84,108,88,112,93,93,95,115
,89,98,101,103,94,102,108,97,87,101,109
,90,94,105,90,107,94,116,96,88,96,114
,91,98,96,99,100,101,112,100,80,104,110
,92,84,110,99,100,93,120,97,83,92,122
,93,99,94,115,95,98,114,103,63,112,107
,94,89,104,99,111,88,124,103,63,103,116
,95,96,95,108,98,101,121,106,58,108,109
,96,84,107,99,107,94,128,96,68,98,119
,97,86,103,103,99,102,111,113,66,100,117
,98,79,110,91,111,99,114,93,86,96,121
,99,85,108,93,100,110,108,99,76,106,115
,100,78,115,89,104,97,121,91,84,105,116
,101,86,106,98,95,106,112,100,78,111,108
,102,83,109,97,96,100,118,92,86,109,110
,103,95,103,103,89,107,99,111,73,122,98
,104,89,109,101,91,97,109,103,81,119,101
,105,104,95,115,80,108,107,105,75,125,86
,106,103,96,105,90,107,108,98,82,118,93
,107,106,88,113,83,114,95,111,75,125,90
,108,97,97,109,87,103,106,102,84,109,106
,109,111,88,118,86,104,103,105,84,109,92
,110,99,100,111,93,97,110,99,90,98,103
,111,108,93,118,82,108,105,104,85,103,94
,112,101,100,112,88,104,109,91,98,88,109
,113,115,92,120,84,108,88,112,93,93,95
,114,109,98,101,103,94,102,108,97,87,101
,115,114,94,105,90,107,94,116,96,88,96
,116,110,98,96,99,100,101,112,100,80,104
,117,122,84,110,99,100,93,120,97,83,92
,118,107,99,94,115,95,98,114,103,63,112
,119,116,89,104,99,111,88,124,103,63,103
,120,109,96,95,108,98,101,121,106,58,108
,121,119,84,107,99,107,94,128,96,68,98
,122,117,86,103,103,99,102,111,113,66,100
,123,121,79,110,91,111,99,114,93,86,96
